Date,Open,High,Low,Close,Volume
2018-06-27,24303.11,24569.02,24115.82,24117.59,117435992
2018-06-28,24064.19,24308.16,23997.21,24216.05,95902528
2018-06-29,24323.93,24509.52,24269.71,24271.41,126101120
2018-07-02,24161.53,24319.42,24077.56,24307.18,91452984
2018-07-03,24359.39,24444.88,24150.85,24174.82,64243968
2018-07-05,24285.82,24372.8,24177.44,24356.74,88005704
2018-07-06,24352.47,24520.29,24281.47,24456.48,84739696
2018-07-09,24525.23,24796.29,24525.23,24776.59,80515008
2018-07-10,24806.97,24945.38,24806.97,24919.66,78618376
2018-07-11,24789.48,24815.16,24663.82,24700.45,77924224
2018-07-12,24802.9,24939.97,24802.9,24924.89,78658616
2018-07-13,24926.07,25043.21,24890.06,25019.41,78989320
2018-07-16,25025.58,25072.41,24979.64,25064.36,78903152
2018-07-17,25033.92,25155.39,24989.61,25119.89,82149760
2018-07-18,25133.79,25215.32,25101.12,25199.29,76769264
2018-07-19,25139.15,25154.17,25052.62,25064.5,88748160
2018-07-20,25041.14,25124.1,24986.35,25058.12,121151336
2018-07-23,25036.9,25081.45,24983.33,25044.29,80936168
2018-07-24,25092.43,25286.62,25092.43,25241.94,85381312
2018-07-25,25183.7,25432.87,25113.55,25414.1,92419160
2018-07-26,25468.55,25587.24,25463.16,25527.07,95788672
2018-07-27,25520.52,25580.22,25370.07,25451.06,93887224
2018-07-30,25439.32,25500.16,25287.38,25306.83,84874728
2018-07-31,25345.21,25490.98,25345.21,25415.19,128328728
2018-08-01,25461.63,25488.8,25278.32,25333.82,82420312
2018-08-02,25256.45,25360.48,25120.07,25326.16,81618136
2018-08-03,25360.37,25467.9,25325.17,25462.58,67528456
2018-08-06,25437.43,25540.02,25381.38,25502.18,66822708
2018-08-07,25551.65,25692.72,25551.65,25628.91,64961976
2018-08-08,25615.72,25634.11,25557.48,25583.75,60567820
2018-08-09,25589.79,25613.31,25492.69,25509.23,59553920
2018-08-10,25401.19,25401.19,25222.88,25313.14,60954752
